id,Survey,Camera,Year,X,Y,nOcc,Habitat,Area,Zone,DistWater,Tree cover,DistVillag,Dog Freq,Human Freq,Freq small mammals,NDVI,Patch,Fishing Cat,Leopard Cat,Smooth-coated otter,Hairy-nosed otter,Large-spotted civet,Common Palm civet,Long-tailed macaque,Sunda Pangolin
1,1,KT04,2017,284938,1266789,44,Fringe mangrove,KK Island,Koh Kapik CPA,2,70,1509.193409,0,0,0.34150035,0.613402069,374.747,2,0,15,0,0,0,0,0
2,1,KT07,2017,285984,1265311,43,Back mangrove,KK Island,Koh Kapik CPA,110,100,2823.039195,0.51225047,0,0,0.757750094,412.569,0,0,0,0,0,0,0,0
3,1,KT08,2017,285087.6251,1270282.065,43,Back mangrove,KK Island,Conservation,50,60,3683.699528,0,0,0,0.822346032,141.236,0,0,0,0,0,0,3,0
4,1,KT10,2017,292647,1268800,24,Mixed mangrove,Islet,Koh Sralao CPA,50,80,3091.707612,0.170750157,0,4.09800376,0.673664093,58.258,0,0,0,0,0,1,0,0
5,1,KT11,2017,286571,1269779,40,Fringe mangrove,KK Island,Koh Sralao CPA,2,60,3838.415999,0,0,0,0.801711857,2389.698,1,0,0,0,0,0,9,0
6,1,KT12,2017,284935,1271102,40,Back mangrove,KK Island,Core Zone,50,60,4377.896575,0,0,0.341500313,0.693483174,59.835,0,0,2,0,0,0,6,0
7,1,KT14,2017,295954,1264404,43,Mixed mangrove,BSNP Mainland,BSNP,1,90,3818.677681,0,0,2.732002507,0.753926694,377.843,0,1,7,0,1,0,1,0
8,1,KT16,2017,287182,1270234,42,Back mangrove,Islet,Koh Sralao CPA,15,70,3651.016046,0,0.683000627,4.781004387,0.73547399,269.376,0,2,0,0,0,0,1,0
9,1,KT17,2017,295084,1265142,43,Melaleuca,BSNP Mainland,BSNP,3,60,4744.668047,0,0.170750157,0,0.475046217,858.42,0,3,0,0,5,0,0,0
10,1,KT18,2017,295563.684,1273661.622,44,Mixed mangrove,PKWS Mainland,PKWS,2,80,2637.863734,0,3.927253603,0,0.732879281,299.2,0,0,0,1,0,5,0,0
11,1,KT20,2017,295050,1267490,40,Melaleuca,BSNP Mainland,BSNP,50,90,5279.538293,0,0.341500313,0.170750157,0.567682505,858.42,0,0,0,0,2,0,8,0
12,1,KT21,2017,297113,1270264,40,Mixed mangrove,Islet,PKWS,3,100,5601.786934,0,0,0,0.813350618,82.398,0,0,6,0,0,0,1,0
13,1,KT23,2017,290975,1267507,41,Back mangrove,Islet,Koh Sralao CPA,200,20,1212.064886,0,0,0,0.459518552,88.926,0,2,0,0,0,0,0,0
14,1,S2,2017,295021.5308,1267500.645,40,Melaleuca,BSNP Mainland,BSNP,50,90,5250.752839,0,0.170750157,0,0.592329562,858.42,0,0,0,0,0,0,6,0
16,2,KT03,2017,296392.0561,1270172.38,37,Melaleuca,Islet,PKWS,2,40,5726.349478,0,0,0,0.529819667,82.47,0,0,0,0,0,0,0,0
17,2,KT04,2017,284938,1266789,64,Fringe mangrove,KK Island,Koh Kapik CPA,260,70,1509.193409,0.094379868,0.188759735,0.283139603,0.613402069,374.747,0,0,3,0,0,0,4,0
18,2,KT06,2017,287677,1266620,10,Back mangrove,KK Island,Koh Sralao CPA,110,60,2339.226903,0.094379868,0.094379868,0.849418809,0.641595125,103.469,0,0,0,0,0,0,0,0
19,2,KT07,2017,285984,1265311,45,Back mangrove,PKWS Mainland,Koh Kapik CPA,500,100,2823.039195,1.60445775,0,0,0.757750094,412.569,0,0,0,0,0,0,0,0
20,2,KT10,2017,292647,1268800,61,Mixed mangrove,Islet,Koh Sralao CPA,50,80,3091.707612,0,0.094379868,0.471899338,0.673664093,58.258,0,0,0,0,0,1,0,0
21,2,KT11,2017,286571,1269779,63,Fringe mangrove,KK Island,Koh Sralao CPA,2,60,3838.415999,0,1.698837618,0,0.801711857,2389.698,0,0,1,0,0,0,16,0
22,2,KT12,2017,284935,1271102,2,Back mangrove,KK Island,Core Zone,50,60,4377.896575,0,0,0,0.693483174,59.835,0,0,1,0,0,0,0,0
23,2,KT14,2017,295954,1264404,22,Mixed mangrove,BSNP Mainland,BSNP,1,90,3818.677681,0,0,0.377519471,0.753926694,377.843,0,1,2,0,0,0,3,0
24,2,KT16,2017,287182,1270234,63,Back mangrove,Islet,Koh Sralao CPA,15,70,3651.016046,0.094379868,0.755038941,0,0.73547399,269.376,0,1,7,0,0,0,2,0
25,2,KT17,2017,295084,1265142,29,Melaleuca,BSNP Mainland,BSNP,3,60,4744.668047,0,0.094379868,1.321318147,0.475046217,858.42,0,0,0,0,2,0,0,0
26,2,KT19,2017,288509,1268860,61,Back mangrove,KK Island,Koh Sralao CPA,75,50,1741.986975,0,0,0,0.662125349,259.465,0,0,0,0,0,0,6,0
27,2,KT20,2017,295050,1267490,12,Melaleuca,BSNP Mainland,BSNP,50,90,5279.538293,0,0,0.094379868,0.567682505,858.42,0,0,0,0,0,0,1,0
28,2,KT21,2017,297113,1270264,5,Mixed mangrove,Islet,PKWS,3,100,5601.786934,0,0,0.094379868,0.813350618,82.398,0,0,2,0,1,0,2,0
29,2,KT24,2017,291717,1268204,61,Fringe mangrove,Islet,Koh Sralao CPA,100,70,2018.751735,0.094379868,0.094379868,0,0.799693704,39.216,0,0,0,0,0,0,0,0
30,2,KT26,2017,289063,1268015,64,Semi-evergreen,Islet,Koh Sralao CPA,110,100,793.0561967,1.226938279,0.094379868,0,0.804615855,12.53,0,0,0,0,0,0,0,0
31,2,KT28,2017,284858,1266846,64,Fringe mangrove,KK Island,Koh Kapik CPA,2,60,1423.201438,0.094379868,0,0,0.400913239,374.747,1,0,2,0,0,0,3,0
32,2,KT32,2017,291821,1269367,55,Mixed mangrove,PKWS Mainland,PKWS,4,100,2665.837752,0,0.094379868,0.660659073,0.722274005,299.2,0,3,10,0,0,1,5,0
33,2,KT33,2017,294169,1264995,12,Mixed mangrove,BSNP Mainland,BSNP,3,70,5140.668495,0,0,0.377519471,0.75725776,377.843,0,1,0,0,1,0,0,0
34,2,KT36,2017,292068,1270655,61,Mixed mangrove,PKWS Mainland,PKWS,5,80,3772.62899,0.471899338,1.98197722,0.094379868,0.747506022,300.318,0,2,11,0,2,6,0,0
35,2,S2,2017,295021.5308,1267500.645,62,Melaleuca,BSNP Mainland,BSNP,50,90,5250.752839,0,0.094379868,0,0.592329562,858.42,0,0,0,0,0,0,2,0
36,3,KT04,2017,284938,1266789,77,Fringe mangrove,KK Island,Koh Kapik CPA,2,70,1509.193409,0.057640442,0.115280885,0.094379868,0.613402069,374.747,0,0,23,0,0,0,7,0
37,3,KT06,2017,287677,1266620,64,Back mangrove,KK Island,Koh Sralao CPA,260,60,2339.226903,0.057640442,0,0.660659073,0.641595125,103.469,0,0,0,0,0,0,2,0
38,3,KT07A,2017,285968.0481,1265712.735,50,Back mangrove,KK Island,Koh Kapik CPA,360,20,2828.778964,0.057640442,0.115280885,0,0.508100152,412.569,0,0,0,0,0,0,1,0
39,3,KT08,2017,285087.6251,1270282.065,9,Back mangrove,KK Island,Conservation,50,60,3683.699528,0,0,0.057640442,0.822346032,141.236,0,0,1,0,0,0,0,0
40,3,KT10,2017,292647,1268800,77,Mixed mangrove,Islet,Koh Sralao CPA,50,80,3091.707612,0.057640442,0.115280885,0,0.673664093,58.258,0,0,0,0,0,0,0,0
41,3,KT11,2017,286571,1269779,76,Fringe mangrove,KK Island,Koh Sralao CPA,2,60,3838.415999,0,0.576404424,0,0.801711857,2389.698,0,0,3,0,0,0,3,0
42,3,KT12,2017,284935,1271102,9,Back mangrove,KK Island,Core Zone,50,60,4377.896575,0,0,0.057640442,0.693483174,59.835,0,0,0,0,0,0,3,0
43,3,KT14,2017,295954,1264404,11,Mixed mangrove,BSNP Mainland,BSNP,1,90,3818.677681,0,0,0,0.753926694,377.843,0,0,1,0,0,0,1,0
44,3,KT16,2017,287182,1270234,77,Back mangrove,Islet,Koh Sralao CPA,15,70,3651.016046,0,0.288202212,0,0.73547399,269.376,0,2,6,0,0,1,1,0
45,3,KT17,2017,295084,1265142,46,Melaleuca,BSNP Mainland,BSNP,3,60,4744.668047,0,0,0.749325751,0.475046217,858.42,0,0,0,0,2,0,0,0
46,3,KT18,2017,295563.684,1273661.622,127,Mixed mangrove,PKWS Mainland,PKWS,2,80,2637.863734,0,0.057640442,0.115280885,0.732879281,299.2,0,0,0,0,0,14,0,0
47,3,KT19A,2017,288282.5447,1268882.019,77,Back mangrove,KK Island,Koh Sralao CPA,75,80,1926.437205,0.057640442,0.461123539,0.288202212,0.761299431,259.465,3,0,0,0,0,0,18,0
48,3,KT19B,2017,283520.1907,1264488.19,78,Back mangrove,KK Island,Koh Kapik CPA,250,10,1179.672506,0.806966193,0.518763981,0,0.297605455,59.991,0,0,0,0,0,0,0,0
49,3,KT20,2017,295050,1267490,63,Melaleuca,BSNP Mainland,BSNP,50,90,5279.538293,0.23056177,0.115280885,0,0.567682505,858.42,0,0,0,0,0,0,0,0
50,3,KT21,2017,297113,1270264,4,Mixed mangrove,Islet,PKWS,3,100,5601.786934,0,0,0.576404424,0.813350618,82.398,0,0,3,0,0,0,0,0
51,3,KT22A,2017,289026.4626,1269789.33,77,Fringe mangrove,Islet,Koh Sralao CPA,4,100,2255.503343,0,0.922247078,0,0.805209517,288.449,0,0,0,0,0,0,6,0
52,3,KT23,2017,290975,1267507,117,Back mangrove,Islet,Koh Sralao CPA,200,20,1212.064886,0,0.23056177,0,0.459518552,88.926,0,0,0,0,0,2,4,0
53,3,KT24A,2017,290437.7443,1267149.382,77,Fringe mangrove,Islet,Koh Sralao CPA,3,80,838.7493431,0.115280885,0,0,0.752776802,76.875,0,0,0,0,0,0,0,0
54,3,KT28,2017,284858,1266846,77,Fringe mangrove,KK Island,Koh Kapik CPA,2,60,1423.201438,0.115280885,0.345842654,0,0.400913239,374.747,0,0,10,0,0,0,6,0
55,3,KT32,2017,291821,1269367,77,Mixed mangrove,PKWS Mainland,PKWS,4,100,2665.837752,0,0.115280885,0,0.722274005,299.2,0,0,31,0,1,1,17,0
56,3,KT33,2017,294169,1264995,26,Mixed mangrove,BSNP Mainland,BSNP,3,70,5140.668495,0,0,0,0.75725776,377.843,0,0,3,0,1,0,0,0
57,3,KT35,2017,289463.397,1268470.035,76,Back mangrove,KK Island,Koh Sralao CPA,90,100,866.4833413,0.057640442,0.97988752,0.057640442,0.802366018,259.465,0,0,0,0,0,0,5,0
58,3,KT37,2017,285906.0442,1269462.054,76,Back mangrove,KK Island,Koh Sralao CPA,60,90,3493.022779,0,0.172921327,0.23056177,0.748067319,259.465,3,0,0,0,0,0,22,0
59,3,KT38,2017,284125.6127,1266985.391,6,Fringe mangrove,KK Island,Koh Kapik CPA,2,80,684.0488566,0,0,0,0.755409241,374.747,1,0,0,0,0,0,1,0
60,3,S2,2017,295021.5308,1267500.645,79,Melaleuca,BSNP Mainland,BSNP,50,90,5250.752839,0,0.172921327,0,0.592329562,858.42,0,0,0,0,0,0,0,0
61,4,KT04,2017,284938,1266789,5,Fringe mangrove,KK Island,Koh Kapik CPA,2,70,1509.193409,0,0,0,0.613402069,374.747,0,0,3,0,0,0,0,0
62,4,KT07B,2017,285339.6,1265117.5,42,Back mangrove,KK Island,Koh Kapik CPA,215,20,2240.826658,0,0.42129092,0.23056177,0.656078875,412.569,0,0,0,0,0,0,4,0
63,4,KT08,2017,285087.6251,1270282.065,17,Back mangrove,KK Island,Conservation,50,60,3683.699528,0,0,0.115280885,0.822346032,141.236,0,0,0,0,0,0,2,0
64,4,KT12,2017,284935,1271102,31,Back mangrove,KK Island,Core Zone,50,60,4377.896575,0,0,0.057640442,0.693483174,59.835,0,0,0,0,0,0,2,0
65,4,KT14,2017,295954,1264404,15,Mixed mangrove,BSNP Mainland,BSNP,1,90,3818.677681,0,0,0,0.753926694,377.843,0,0,4,0,0,0,0,0
66,4,KT16,2017,287182,1270234,4,Back mangrove,Islet,Koh Sralao CPA,15,70,3651.016046,0,0,0,0.73547399,269.376,0,0,0,0,0,0,1,0
67,4,KT17,2017,295084,1265142,68,Melaleuca,BSNP Mainland,BSNP,3,60,4744.668047,0,0,0,0.475046217,858.42,0,0,0,0,0,0,6,0
68,4,KT18,2017,295563.684,1273661.622,19,Mixed mangrove,PKWS Mainland,PKWS,2,80,2637.863734,0,0.772366686,0,0.732879281,299.2,0,0,0,0,0,0,0,0
69,4,KT19A,2017,288282.5447,1268882.019,148,Back mangrove,KK Island,Koh Sralao CPA,75,80,1926.437205,0.070215153,1.263872759,0.702151533,0.761299431,259.465,7,0,0,0,0,0,20,0
70,4,KT22A,2017,289026.4626,1269789.33,141,Fringe mangrove,Islet,Koh Sralao CPA,4,100,2255.503343,0,1.404303065,0.140430307,0.805209517,288.449,0,0,0,0,0,0,7,0
71,4,KT28,2017,284858,1266846,3,Fringe mangrove,KK Island,Koh Kapik CPA,2,60,1423.201438,0,0.070215153,0.842581839,0.400913239,374.747,0,0,0,0,0,0,0,0
72,4,KT29,2017,282834.7019,1264830.802,35,Fringe mangrove,KK Island,Koh Kapik CPA,6,40,1814.34438,0.21064546,0.842581839,0,0.534713805,173.269,1,0,0,0,0,0,1,0
73,4,KT32,2017,291821,1269367,43,Mixed mangrove,PKWS Mainland,PKWS,4,100,2665.837752,0.070215153,0,0,0.722274005,299.2,0,0,19,0,1,1,5,0
74,4,KT33,2017,294169,1264995,124,Mixed mangrove,BSNP Mainland,BSNP,3,70,5140.668495,0.140430307,0.070215153,0,0.75725776,377.843,0,0,22,0,0,3,1,0
75,4,KT35A,2017,289438.2224,1268475.183,148,Back mangrove,KK Island,Koh Sralao CPA,110,70,880.5364754,0,0.561721226,0,0.660341561,259.465,3,0,0,0,0,0,2,0
76,4,KT37,2017,285906.0442,1269462.054,106,Back mangrove,KK Island,Koh Sralao CPA,60,90,3493.022779,0,0.070215153,0,0.748067319,259.465,2,0,0,0,0,0,9,0
77,4,KT38,2017,284125.6127,1266985.391,147,Fringe mangrove,KK Island,Koh Kapik CPA,2,80,684.0488566,0.561721226,0.351075766,0,0.755409241,374.747,1,0,1,0,0,0,21,0
78,4,KT39,2017,287150.3243,1266705.778,8,Fringe mangrove,Islet,Koh Sralao CPA,2,80,2790.128683,0,0.140430307,0.21064546,0.786080599,139.437,0,0,2,0,0,0,0,0
79,4,KT40,2017,287667.8208,1266959.626,9,Back mangrove,Islet,Koh Sralao CPA,35,20,2217.958154,0,0,0,0.580124259,103.469,0,0,0,0,0,0,0,0
80,4,S11,2017,295914.8737,1266812.007,50,Mixed mangrove,BSNP Mainland,BSNP,3,40,4541.997645,0,0.140430307,0.772366686,0.766395032,377.843,0,0,1,0,0,0,2,0
81,4,S8,2017,284849.6266,1266904.2,147,Fringe mangrove,KK Island,Koh Kapik CPA,2,60,1410.305521,0.070215153,0.21064546,0,0.68350172,374.747,1,0,10,0,0,0,9,0
82,4,S9,2017,284493.2706,1267092.625,147,Fringe mangrove,KK Island,Koh Kapik CPA,3,80,1057.038465,0.42129092,0.280860613,0.140430307,0.702871382,374.747,2,0,29,0,0,0,13,0
83,5,KT04,2018,284938,1266789,4,Fringe mangrove,KK Island,Koh Kapik CPA,2,70,1509.193409,0,0,2.106454598,0.279953927,374.747,0,0,1,0,0,0,0,0
84,5,KT19A,2018,288282.5447,1268882.019,70,Back mangrove,KK Island,Koh Sralao CPA,75,80,1926.437205,0,0.329088097,0.140430307,0.531899095,259.465,0,0,0,0,0,0,30,0
85,5,KT32,2018,291821,1269367,69,Mixed mangrove,PKWS Mainland,PKWS,4,100,2665.837752,0,0.164544048,0,0.442188889,299.2,1,0,10,0,1,1,9,0
86,5,KT37,2018,285906.0442,1269462.054,70,Back mangrove,KK Island,Koh Kapik CPA,60,90,3493.022779,0,0,0,0.516587675,259.465,0,0,0,0,0,0,6,0
87,5,KT38,2018,284125.6127,1266985.391,69,Fringe mangrove,KK Island,Koh Sralao CPA,40,80,684.0488566,1.809984533,1.151808339,0.351075766,0.487420052,374.747,1,0,0,0,0,0,11,0
88,5,KT41A,2018,287237.7147,1268749.784,4,Back mangrove,KK Island,Koh Sralao CPA,50,90,2758.540579,0,0,0,0.42882964,259.465,0,0,0,0,0,0,2,0
89,5,KT42,2018,287125.6814,1267773.384,69,Back mangrove,KK Island,Koh Sralao CPA,40,100,2648.829963,0,0,1.809984533,0.451273024,259.465,1,0,0,0,0,0,13,0
90,5,KT43,2018,288653.8846,1268813.135,69,Back mangrove,KK Island,Koh Kapik CPA,1,50,1606.014979,0,0.987264291,0,0.472254544,259.465,1,0,0,0,0,0,5,0
91,5,KT44,2018,284599.4902,1264192.249,43,Fringe mangrove,KK Island,Koh Kapik CPA,100,10,1056.284706,0.329088097,0.164544048,0,0.252432168,374.747,0,0,0,0,0,0,0,0
92,5,KT45,2018,284894.1544,1264619.076,12,Back mangrove,KK Island,Koh Kapik CPA,4,100,1573.475639,0,0,0,0.31414637,412.569,0,0,0,0,0,0,0,0
93,5,KT46,2018,283401.0331,1268172.677,27,Back mangrove,KK Island,Koh Sralao CPA,1,60,1187.219621,0,0,4.442689308,0.473986387,147.931,1,0,0,0,0,0,0,0
94,5,S9,2018,284493.2706,1267092.625,44,Fringe mangrove,KK Island,Koh Kapik CPA,3,80,1057.038465,1.151808339,0.164544048,0.164544048,0.431132078,374.747,0,0,15,0,0,0,4,0
95,6,KT04,2018,284938,1266789,7,Fringe mangrove,KK Island,Koh Kapik CPA,2,70,1509.193409,0,0,3.290880969,0.279953927,374.747,0,0,4,0,0,0,0,0
96,6,KT19A,2018,288282.5447,1268882.019,81,Back mangrove,KK Island,Koh Sralao CPA,75,80,1926.437205,0,0.584374982,2.303616678,0.531899095,259.465,0,0,0,0,0,0,36,0
97,6,KT32,2018,291821,1269367,78,Mixed mangrove,PKWS Mainland,PKWS,4,100,2665.837752,0,0,2.797248824,0.442188889,299.2,0,1,3,0,0,0,2,0
98,6,KT35A,2018,289438.2224,1268475.183,81,Back mangrove,KK Island,Koh Sralao CPA,110,70,880.5364754,0,0,0.493632145,0.422222227,259.465,0,0,0,0,0,0,0,0
99,6,KT37,2018,285906.0442,1269462.054,82,Back mangrove,KK Island,Koh Sralao CPA,60,90,3493.022779,0,0.194791661,4.607233356,0.516587675,259.465,1,0,0,0,0,0,11,0
100,6,KT38,2018,284125.6127,1266985.391,32,Fringe mangrove,KK Island,Koh Kapik CPA,2,80,684.0488566,0.584374982,0.584374982,0.164544048,0.487420052,374.747,0,0,0,0,0,0,3,0
101,6,KT41A,2018,287237.7147,1268749.784,81,Back mangrove,KK Island,Koh Sralao CPA,40,90,2758.540579,0,0,0,0.42882964,259.465,0,0,0,0,0,0,1,0
102,6,KT47,2018,292924.224,1269085.513,78,Mixed mangrove,PKWS Mainland,PKWS,6,60,3458.447085,0,1.363541624,0,0.281216055,299.2,0,6,0,0,1,9,4,0
103,7,KT32,2018,291821,1269367,42,Mixed mangrove,PKWS Mainland,PKWS,4,100,2665.837752,0,0,0,0.442188889,299.2,0,0,0,0,0,0,8,0
104,7,KT35A,2018,289438.2224,1268475.183,9,Back mangrove,KK Island,Koh Sralao CPA,110,70,880.5364754,0,0.580984944,0,0.422222227,259.465,0,0,0,0,0,0,0,0
105,7,KT41B,2018,287244.5756,1268763.789,72,Back mangrove,KK Island,Koh Sralao CPA,50,80,2757.810868,0,0,4.090624872,0.446322918,259.465,0,0,0,0,0,0,21,0
106,7,KT42A,2018,287090.2572,1267862.23,153,Back mangrove,KK Island,Koh Sralao CPA,170,100,2689.4192,0,0.871477416,0.389583321,0.470540762,259.465,0,0,0,0,0,1,9,0
107,7,KT47,2018,292924.224,1269085.513,73,Mixed mangrove,PKWS Mainland,PKWS,6,60,3458.447085,0,1.161969888,0,0.281216055,299.2,0,0,0,0,0,0,4,0
108,8,KT04,2018,284938,1266789,104,Fringe mangrove,KK Island,Koh Kapik CPA,2,70,1509.193409,1.501633563,0.21451908,0,0.279953927,374.747,0,0,44,0,0,0,4,0
109,8,KT19A,2018,288282.5447,1268882.019,106,Back mangrove,KK Island,Koh Sralao CPA,75,80,1926.437205,0,1.501633563,0,0.531899095,259.465,0,0,0,0,0,0,25,0
110,8,KT32,2018,291821,1269367,33,Mixed mangrove,PKWS Mainland,PKWS,4,100,2665.837752,0,0.21451908,0,0.442188889,299.2,0,0,3,0,0,0,0,0
111,8,KT46,2018,283401.0331,1268172.677,94,Back mangrove,KK Island,Koh Kapik CPA,1,60,1187.219621,0.429038161,4.075862528,0.871477416,0.473986387,147.931,0,0,0,0,0,0,3,0
112,8,KT47,2018,292924.224,1269085.513,33,Mixed mangrove,PKWS Mainland,PKWS,6,60,3458.447085,0,0.429038161,0,0.281216055,299.2,0,0,0,0,0,0,0,0
113,8,KT54,2018,282450.9892,1265004.682,103,Semi-evergreen,KK Island,Koh Kapik CPA,80,50,2193.080069,0.21451908,0,6.10034191,0.552622676,13.975,0,0,0,0,0,0,0,0
114,9,KT19A,2018,288282.5447,1268882.019,27,Back mangrove,KK Island,Koh Sralao CPA,75,80,1926.437205,0,1.330747248,0,0.531899095,259.465,2,0,0,0,0,0,10,0
115,9,KT32,2018,291821,1269367,31,Mixed mangrove,PKWS Mainland,PKWS,4,100,2665.837752,0,0.665373624,0.429038161,0.442188889,299.2,0,0,10,0,0,0,6,0
116,9,KT37,2018,285906.0442,1269462.054,31,Back mangrove,KK Island,Koh Sralao CPA,60,90,3493.022779,0,0.998060436,0,0.516587675,259.465,0,0,0,0,0,0,5,0
117,9,KT41B,2018,287244.5756,1268763.789,63,Back mangrove,KK Island,Koh Sralao CPA,50,80,2757.810868,0,0.998060436,0,0.446322918,259.465,0,0,0,0,0,0,26,0
